Titre;Artiste;Album;Duree_min;Lectures;Minutes_totales;Has_Pochette;Rang_lectures;Rang_minutes;Rang_zscore;Rang_jessye;Artwork_URL;Lien_YouTube;Commentaire
Véronique;3 Gars Su'l Sofa;Des Cobras, Des Tarentules;2.982;25;74.542;Non;83;155;116;93;https://i.discogs.com/ptwHgR8r9T7hqTztO7Yx0MNRqUifZk5cU7LHqhnnuio/rs:fit/g:sm/q:90/h:589/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTg1/OTMtMTM5NzY5OTE0/OS04MzYxLmpwZWc.jpeg;https://www.youtube.com/watch?v=VZAG_9X0AgY;Jamais réellement décrocher de cette chanson . Elle est ,pour moi, encore a ce jour , la meilleure représentation des premiers jours quand on tombe en amour 
The Witch;Adam & Eve;The In-Kraut Vol. 3 - Hip Shaking Grooves Made In Germany 1967-1974;3.973;36;143.036;Oui;33;32;33;43;https://i.discogs.com/r2I-xu5yI5DNwaLHMarQolM3GyXbNKJPkx0Lg7pfNDY/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4OTk1/NTMtMTMzODM5MzAz/NC00NDEwLmpwZWc.jpeg;https://www.youtube.com/watch?v=h79DyH4GwgI;L'intro horrifique est malade , la bass est cochone a souhait . Une pépite de l'Allemagne des années 60
Year Of The Cat;Al Stewart;Chris Coco - Lazy Summer 2;6.736;23;154.92;Oui;110;23;61;15;https://i.discogs.com/AyTSQiWyjELHLin-OM07MKMEZ8kH-sgP10VovRIQVC0/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQzNTA2/NjEtMTM2MjUxMzc1/NC04NzI0LmpwZWc.jpeg;https://www.youtube.com/watch?v=Ak_MTXQALa0;Trop s'comme pas assez? Pour les solos ,dans cette chansons ,l'expression ne marche pas . Solo de sax savoureux
Obaa Sima;Ata Kak;Obaa Sima;5.642;50;282.122;Oui;7;4;7;11;https://i.discogs.com/JRNjCqXh6iuUW2eShK8ujhsQ9H97RSuNj7Z4nzv8nY4/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY2MTY0/MjctMTQyOTM4ODk5/Ni05MzY5LmpwZWc.jpeg;https://www.youtube.com/watch?v=cd0PV82e1jE;Je dédis la direction artistique de se site à Obaa Sima . Je dis souvent que c'est un heureux mélange de la house de chicago , du rap de la corne africaine …et des voix de François Perusse
L'amour passe à travers le linge;Avec Pas D'casque;Dans la nature jusqu'au cou;4.061;24;97.451;Non;97;94;103;107;https://i.discogs.com/ujWZkHoKnYcmYmyK9ZuTwwY7d-S1scMD1apI0nrUAoo/rs:fit/g:sm/q:90/h:550/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NjUy/NjMtMTQ1Mjc0NDc2/Mi0yNzk2LmpwZWc.jpeg;https://www.youtube.com/watch?v=3Ssf-Sq0Ghk;"""Quand la force de l'accident me sortira de mon siege , je penserai a toi , de toute mes raideurs, touuutes mes raideurs"""
Sabotage;Beastie Boys;Ill Communication;2.974;33;98.142;Oui;42;92;51;53;https://i.discogs.com/-udR8HjmAJVQsXlpJ4MQnZ33ADDqTtOFry4infIBNnI/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3ODY3/NDMtMTM2NjUzMzg4/OS04MzkxLmpwZWc.jpeg;https://www.youtube.com/watch?v=z5rRZdiu1UE;Juste un des meilleurs vidéoclip et est une des chansons que j'utilise pour me motiver
Le Picbois;Beau Dommage;*multiple*;3.468;38;131.754;Oui;26;44;30;33;https://i.discogs.com/gU-c2E7uHiB2kpzTyBR-HFmqqCvGeo9yRmHm79Egs5U/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0NTQx/MDYtMTUwODg1MzE1/NC0yNzAyLmpwZWc.jpeg;https://www.youtube.com/watch?v=a0tgrlcgINw;Le solo de guit qui s'évade , l'harmonie des voix . Une des plus grandes chansons québecoise
Haboglabotribin';Bernard Wright;Space 103.2;4.295;31;133.157;Oui;47;42;47;59;https://i.discogs.com/4F-hJ8Ogxe7gqZ9fhaR4RR6Gt77nZX1lmUDLNCRe28U/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkxMzM1/My0xNzQ1NzgxMTg2/LTgzMDYuanBlZw.jpeg;https://www.youtube.com/watch?v=fIMHtajyeXM;Avertissement : Si vous n'aimez pas le Slap bass , n'écouter pas cette chanson …pour le reste  un des grands bassistes américains ever
Nights (Feel Like Gettin' Down);Billy Ocean;Nights (Feel Like Gettin' Down);4.729;30;141.884;Non;51;33;48;63;https://i.discogs.com/VSotQcDncSOWk57SlX4dEq9ppntwHf7n5t94CbuksWQ/rs:fit/g:sm/q:90/h:600/w:589/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNDMw/NzItMTQ1ODE2MzIw/OS0zMjk1LmpwZWc.jpeg;https://www.youtube.com/watch?v=7gNjgU_1th0;La station SPACE de GTA V , m'a reconcillier avec Billy Ocean , que je trouvais ennuyant . C'est maintenant un de mes albums préférés
Stay The Night;Billy Ocean;Nights (Feel Like Gettin' Down);3.528;42;148.187;Non;17;27;18;24;https://i.discogs.com/VSotQcDncSOWk57SlX4dEq9ppntwHf7n5t94CbuksWQ/rs:fit/g:sm/q:90/h:600/w:589/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNDMw/NzItMTQ1ODE2MzIw/OS0zMjk1LmpwZWc.jpeg;https://www.youtube.com/watch?v=ikpyUQ3PWPA;Un de mes albums préférés , dommage que Caribbean Queen cache la foret qui se cache derriere
Iron Man;Black Sabbath;*multiple*;5.975;25;149.227;Oui;83;26;58;93;https://i.discogs.com/bZ2bLkRC33U4nhROkY7-q4sJpxgj8g8tkMkBhDOKjk4/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NzQy/NTgtMTMwMjQ1NTY5/Mi5qcGVn.jpeg;https://www.youtube.com/watch?v=F01UTYg79KY;Si on me demande , quelle est mon premier souvenir d'une chansons ? Je dirais Iron Man de Black Sabbath . La voix qui se promene au début , le riff classique . Ouais Merci papa pour cette toune!
War Pigs;Black Sabbath;*multiple*;7.961;26;206.851;Oui;75;12;38;10;https://i.discogs.com/bZ2bLkRC33U4nhROkY7-q4sJpxgj8g8tkMkBhDOKjk4/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NzQy/NTgtMTMwMjQ1NTY5/Mi5qcGVn.jpeg;https://www.youtube.com/watch?v=bc5Nk1DXyEY;Si Iron Man est mon premier souvenirs d'une chanson , War pig est maintenant ma chanson préférés de Black Sabbath
Like A Rolling Stone;Bob Dylan;Highway 61 Revisited;6.223;19;118.241;Oui;165;58;105;33;https://i.discogs.com/mPeJj0vQYalrN3LAhuGHmVlp1F0tozA6R1Qz1o1D59c/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2Mjkx/NTY2LTE2MDY2ODAx/ODAtODQ1NS5qcGVn.jpeg;https://www.youtube.com/watch?v=IwOfCgkyEj0;J'ai du Bob Dylan dans mon top ? Wow! Je dois avouer que je ne suis pas le plus grand fan mais cette chansons , cette foutu chansons reste
Rasputin (Maxi Version);Boney M.;Disco - The Long Versions Cd1;7.551;18;135.912;Oui;180;38;82;43;https://i.discogs.com/nnOJQCI8ePANsTxMH1D1hRYylypiV-1LMZeOf7cVir8/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU3NzMy/NC0xMTQ4MjQ2NzM4/LmpwZWc.jpeg;https://www.youtube.com/watch?v=ansULlipQJI;Pas la version qu'on connais . Nenon , la version lonngue , celle avec les drums qu'on dirait sorti d'Iron Butterfly a l'intro . 
Father and Son;Cat Stevens;*multiple*;3.69;27;98.694;Oui;65;91;79;77;https://i.discogs.com/1pNvizb4Nn1G5BcJOkrSEQZjJt-h7G3U7RLg9YSeOM8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2ODUw/ODgtMTQxOTEwOTI2/NC01MTUxLmpwZWc.jpeg;https://www.youtube.com/watch?v=P6zaCV4niKk;Mon père chantait cette chansons quand j'étais jeune  (gros defaut de famille vouloir chanter quand on le sait pas) . Pas grand chose a dire  , les relations peres-fils tzé mais tzé han!
Touche pas mon sexe;Comix;BIPPP : French Synth-Wave 1979/85;3.226;33;106.448;Oui;42;76;49;53;https://i.discogs.com/ZYIK3ani2ktVMZcLo2lEGIEgNmBjHWOpyv3Kmy7iNLw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2NzI4/NzUtMTMyNjEzMDM3/Mi5qcGVn.jpeg;https://www.youtube.com/watch?v=tZHG1HlP6WE;"Des back vocal qui dit ""on pourrait jouer a touche pipi"" quoi demander de mieux ?"
Computer Man [Extended Version];Computeur Man;Canada;2.641;25;66.03;Non;83;201;124;93;https://i.ytimg.com/vi/jeg_TJvkSjg/maxresdefault.jpg;https://www.youtube.com/watch?v=jeg_TJvkSjg;Juste une pépite d'internet qui vient d'un show pour enfant d'une station a Halifax . Computer Man a des réponse juste pour vous !
j'lache pas;CORBEAU;*multiple*;4.757;21;99.904;Oui;135;88;115;147;https://i.discogs.com/JeCu-VHIrRlidOzBG0jqFW2NMTUPfSj5WdoPsFRUZm0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxOTQx/NDQtMTM1ODE3NTMx/Ny03ODcwLmpwZWc.jpeg;https://www.youtube.com/watch?v=0aJhz7LMIRY;Marjo survolté dans un show des années 80 serait mon animal totem , si ce n'étais pas de Luc Picard en chaise roulante dans le clip un beau grand slow de Ti-cuir
I Heard It Through The Grapevine;Creedence Clearwater Revival;*multiple*;11.106;19;210.994;Oui;165;11;36;33;https://i.discogs.com/W2f77xmjhQ2-HPK99WM2d3mcqiVFpffRo5BXeJnrslY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2MTI2/MDAtMTM4NTkxOTI5/NC03NzM4LmpwZWc.jpeg;https://www.youtube.com/watch?v=ixqofv-Oi74;JE SAIS , au cachot ! Je préfere la version de CCR que de Marvin Gayes . J'dois avoir écouté trop de radio de région faut craire!
Evil Woman;Electric Light Orchestra;*multiple*;4.497;29;128.085;Oui;54;51;55;66;https://i.discogs.com/2rGK9ebvaSRyJIG37Y7mFYnfcQzzQWdswjT_vPX-TzE/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5NTg4/MTEtMTM2ODg2OTI5/My01MDQyLmpwZWc.jpeg;https://www.youtube.com/watch?v=nxz1DuVaRr8;J'Ai enfin vu Jeff Lynes en spectacle , l'année dernière . Moment emouvant 
Ayayaya;Epsilon;Cosmic Discotheque Vol.3;3.041;25;76.014;Oui;83;145;113;93;https://i.discogs.com/UgZVurHY-Sg_ZHrM4OLMbDD1GPHAkaTK5T7DFVUG3-Y/rs:fit/g:sm/q:90/h:600/w:593/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMDIx/NDctMTYxOTUzODky/OS03NjE1LmpwZWc.jpeg;https://www.youtube.com/watch?v=RNgkhCC8MQc;"Connaissez-vous la série Cosmic Discotheque ? Serie de six tome dédié a la musique disco psychédelique /electro ""spatial . On peut entendre des groupes des tentives pop de groupes hard rock germaniques (comme ici avec Epsilon) que Kebektronic"
Les Boys;Eric Lapointe;Québec rock 1990-1999;3.473;29;100.703;Non;54;84;68;66;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFSlkiW7mAN9qbpZbAPMQHUBa1fLXdQjANSg&s;https://www.youtube.com/watch?v=esFq2oLyYio;Déjà que je suis surpris de pas voir le Boy Blues Band …laisser moi un plaisir …coupable… 
Exuma, The Obeah Man;Exuma;Exuma;6.341;34;215.587;Oui;38;9;24;5;https://i.discogs.com/vkAWnjiUFtO_olQPTfpuFCV-PoUkkAaQM4jKoStUR-o/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NjYx/MjYtMTQwMzUyODA5/My01Nzg5LmpwZWc.jpeg;https://www.youtube.com/watch?v=CJKPucU4Y_c;En fouillant dans les interweb , je suis tombé sur Exuma . Chanteur Folk? Des Bahamas . Rien de folk , c'est du Dr.John puissance 1000 , c'est un univers complet dans lequel on entre apeuré mais curieux . Joie aussi quand 2 mois après de voir apparaitre dans Nope de Jordan Peele 
Rock me Amadeus;Falco;Greatest Hits;3.345;26;86.98;Oui;75;116;97;85;https://i.discogs.com/lCI-XT76t01UWpUuNxrVVoWw3R8nV-BoXJ9d9XF71Bk/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5MDUw/Ny0xNjc3NTE4NTY5/LTgzOTcuanBlZw.jpeg;https://www.youtube.com/watch?v=cVikZ8Oe_XA;Docteur Zeus , Docteur Zeus dirait les Simpsons . 
Praise You;Fatboy Slim;You've Come A Long Way, Baby;5.389;44;237.118;Oui;14;6;9;20;https://i.discogs.com/Nj8Yz_LInge9O7QeC-_C9spnuACZeQwMiZ6LGmz-e9M/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyNDM1/MS0xMTU5NjMwNTQ5/LmpwZWc.jpeg;https://www.youtube.com/watch?v=ruAi4VBoBSM;Sortis de Pandémie , mes amis m'invitent a ma fete au Motel Coconut à Trois-Rivières . L'idée de génie m'est venu de faire un DJ set dédié a cette toune . C'est encore aujourd'hui un de mes set préférés
Rockafeller Skank;Fatboy Slim;You've Come a Long Way, Baby;3.493;36;125.748;Non;33;53;39;43;https://i.discogs.com/6VzXeGtnnrQzzHs_aDKi8bhW0KlSyLzJ6cQ9xaPt1ac/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxNzEw/LTEzNjYxMjAxNDIt/NjM5OC5qcGVn.jpeg;https://www.youtube.com/watch?v=FMrIy9zm7QY;Le hit absolu des gens qui se trouve cool , qui porte des chemise funky pas attaché , des grosses lunettes de soleil  dans une décapotable dans le désert . 
Mr. Follow, Follow;Fela Kuti;Zombie;12.963;8;103.706;Oui;604;80;;107;https://i.discogs.com/zYl23inhLuo1enH8xRyaO-_y9-9cqnmD0HprWHohAWY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1OTE4/My0xMjg1OTU4ODU2/LmpwZWc.jpeg;https://www.youtube.com/watch?v=0nklCXMEj8k;Cette chansons est dans le top juste parce qu'elle suit Zombie ….
Zombie;Fela Kuti;Zombie;12.44;15;186.606;Oui;232;15;41;18;https://i.discogs.com/zYl23inhLuo1enH8xRyaO-_y9-9cqnmD0HprWHohAWY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1OTE4/My0xMjg1OTU4ODU2/LmpwZWc.jpeg;https://www.youtube.com/watch?v=Qj5x6pbJMyU;Cette chansons est excellentes mais de la que l'armée nigérienne sacre la mere de Fela Kuti par la fenetre a cause de ça , y'a des limites
The Chain;Fleetwood Mac;*multiple*;4.515;29;129.45;Oui;54;48;54;66;https://i.discogs.com/y5ZLcK8f6O7xGJXtAhhjgttygHnnn3nybnj1Jmqwb1s/rs:fit/g:sm/q:90/h:579/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4OTQx/OTItMTQ5MjQyMTg3/Ni05NTExLmpwZWc.jpeg;https://www.youtube.com/watch?v=xwTPvcPYaOo;C'est The Chain de Fleetwoot Mac que dire de plus ?
Souvenir retrouvés;Francine Raymond;Dix ans de succès;3.909;27;105.549;Non;65;79;76;77;https://i.discogs.com/8Ux4qMrtuDHkTnHjdN_mXGDNZ_Mu0uohZuN4mnP5coI/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczNDY0/NjItMTUxMzQ0NTg3/Ny00MDY5LmpwZWc.jpeg;https://www.youtube.com/watch?v=K4_va3phIOc;En 69 j'avais 13 ans . Que ce soit pour faire rire un ancien collègue à la radio , parce que on voulait un club des gens qui aime Francine Raymond , ou parce que pendant la pandemie s'était un de mes sobriquets sur Twitch ….Merci Francine
Tous Les Bateaux Font Des Vagues;Francine Raymond;*multiple*;4.16;29;120.613;Non;54;56;59;66;https://i.discogs.com/XqeXfNr_YSYVBzm6jqG-el8qWcD7lCgwoyUXLqsJ3eU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc4MjM3/NDYtMTUxOTY3OTAy/NC04MDM3LmpwZWc.jpeg;https://www.youtube.com/watch?v=qwL3z9jIa50;J'ai modifié plusieur fois le titre de cette chansons . Ma modification préférés Tous les kiwis ont des poils .  Cette chansons est un ovnis , ce veut mélodramatique mais ton refrain est TOUT LES BATEAUX FONT DES VAGUES! Cibole
Snack-Bar Chez Raymond;François Pérusse;L'Album Du Peuple - Tome 5;2.657;27;71.73;Oui;65;169;107;77;https://i.discogs.com/heUNuGneIpOsDf1TA7kJvdB6GBcyvpvnGMJyqcDtw4s/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU3NDU2/MDItMTYzODEwMjg1/Mi03MDkwLmpwZWc.jpeg;https://www.youtube.com/watch?v=1c-x-T9a6aM;Sérieusement , en vieillissant je trouve que les arrangement de cette tounes sont sublimes . Bon ok s't'un toune funné , mais ecoute moi , y'a d'autre trucs a fouillé dans cette chansons 
Pawnsheüp;Gatineau;Gatineau;3.63;26;94.361;Non;75;101;91;85;https://i.discogs.com/T0b3bqOBoc3F69QfIHIwSPO8y9I5qmsm4s01NpCkQKY/rs:fit/g:sm/q:90/h:600/w:591/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NDI4/OTQtMTI1Mzk5Nzcz/MC5qcGVn.jpeg;https://www.youtube.com/watch?v=l8ZlqHesffU;Cette chansons va dans tout les sens mais un moment données apres le deuxieme couplet , tous se rejoints dans un refrain melodieux accrocheurs 
Une autre chambre d'hôtel;Gildor Roy;Une autre chambre d'hôtel;3.329;24;79.878;Oui;97;136;119;107;https://i.discogs.com/vX6pV4SMq_L8YKCXJBKtfe2o-nP1pQ4TeOMi-RP3PIM/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk3NzY4/MTktMTQ4NjE4MDI5/NC03NzgxLmpwZWc.jpeg;https://www.youtube.com/watch?v=oVgxVIok2-s;Gildor Roy a des grosses mains rien d'autre a dire
SANTA BARBARA;GILLES SINCLAIR;Santa Barbara;3.819;44;168.021;Non;14;20;15;20;https://i.discogs.com/UBpoM3Xtn3e-UfOzgrsGqf5HMF46PeuzWS_-CL3qfBI/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0MDAz/Ni0xNDM4NTgwNjUw/LTY5MzEuanBlZw.jpeg;https://www.youtube.com/watch?v=9L0pKMdGWHs;Je n'ai jamais écouté l'émissions. Je connais qu'a cause de Gab Paquet …mais crime que j'aime ce générique
Je suis cool (asteur);Gilles Valiquette;*multiple*;2.628;44;114.101;Oui;14;61;19;20;https://i.discogs.com/DBhkMUuuscU558qwM7LPRpza6y5yw-qEwKQQyrW69CE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxNzYx/NjItMTM1Nzc1MTM3/OC01Nzk5LmpwZWc.jpeg;https://www.youtube.com/watch?v=T11f4nO7iaY;Des grandes barniques qui nous dit qu'il est cool? J'achete! 
Paradise City;Guns N' Roses;Appetite For Destruction;6.773;19;128.666;Oui;165;49;90;33;https://i.discogs.com/jmsJ20bTrZUVCaLA8VEM_RHLXsJzUJ1GgBpOTdFOxgQ/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4NDE3/MjUtMTQ1MTMyMTc0/OC0yMzc0LmpwZWc.jpeg;https://www.youtube.com/watch?v=Rbm6GXllBiw;Je suis supersticieux , quand j'ai besoin d'un peu de chance . J'écoute Paradise city et tout va ben aller
