Titre;Artiste;Album;Duree_min;Lectures;Minutes_totales;Has_Pochette;Rang_lectures;Rang_minutes;Rang_zscore;Rang_jessye;Artwork_URL;Lien_YouTube;Commentaire
Sweet Child O' Mine;Guns N' Roses;*multiple*;5.941;16;95.044;Oui;207;100;141;226;https://i.discogs.com/AYYmSqRtuuG4jge-wHlhR7sEU1HeWoCfZAh7dirvio0/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0OTcw/MjAtMTQ1NTA4MDI4/OC00MDkzLmpwZWc.jpeg;https://www.youtube.com/watch?v=1w7OgIMMRc4;Je me connaissais pas en tant que fan de Gun's & Rose's mais me voila avec deux chansons d'eux dans mon top .Encore une fois , je blame les radios de régions
highlife;gyedu blay ambolley;africa airways five (brace brace boogie 1976 - 1982);4.993;22;109.843;Oui;125;70;102;136;https://i.discogs.com/IJfTMM45tL7njB0sC-KySap6SOUPo4ZzHczwZ_LVB7Q/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc5OTg0/NzAtMTQ1MzE5OTM5/OS02ODkxLmpwZWc.jpeg;https://www.youtube.com/watch?v=IjwXUu3CRXU;Il va y avoir beaucoup de chanson de la compilation Africa Airways . Une des meilleures séries de musique  découverte dans les 5 dernières années .
Get Out of My Car;Hasil Adkins;Grand Theft Auto V [Unofficial Soundtrack] Rebel Radio;3.558;46;163.668;Oui;11;22;13;15;https://i.discogs.com/YZ9CLBaGqA6GxJFT1YyZ0Q-VHEPqSNqX4OoZ-OLikwk/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1OTE3/MTItMTQzMTk5MTE4/MS01MzY0LmpwZWc.jpeg;https://www.youtube.com/watch?v=N6yaTqR4ZLc;REGARDER LA POCHETTE COMMENT NE PAS L'AIMER!! Cet chanson est le plus proche que je peux être , d'être sur la ketamines , voler le char de ma soeur et partir sua dérape
Swinging London;Hazy Osterwald Jet Set;The In-Kraut Vol. 2 - Hip Shaking Grooves Made in Germany 1967-1974;3.256;26;84.66;Oui;75;121;99;85;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPUL98b2KG2TuliURCdTAVT6R9kb3LDtT6hA&s;https://www.youtube.com/watch?v=_aDblNoMHiU;Chanson de la compilation In-Kraut , qui focus sur la musique groovy yéyé allemand pré kraut allemand . Deuxieme meilleur Ding Dong après celui de Pierre Harel
Crazy On You;Heart;*multiple*;4.881;22;107.363;Oui;125;75;106;136;https://i.discogs.com/mhnt4Dvppv44p4nn_17haqbxas3o0yYhb5GGqTP5dNw/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4MTkw/NjctMTMzMDIyNTkx/MS5qcGVn.jpeg;https://www.youtube.com/watch?v=EZ7inhwScSQ;Ahhh l'album Dreamboat Annie , gros album , j'aimerais dire que l'album a influencé et c'est pourquoi , la chanson se retrouve ici  et non dire la vérité ,que j'ai découvert cette chansons en écoutant Harold et Kumar chasse le burger …
Holiday Time;Hildegard Knef;The In-Kraut Vol. 2 - Hip Shaking Grooves Made in Germany 1967-1974;4.591;24;110.174;Oui;97;69;89;107;https://i.discogs.com/IGAq1L0XKiMxuAsGVU0TDFcx1aGtdhz8pVp0Ga3InGU/rs:fit/g:sm/q:90/h:480/w:480/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MDg3/MTktMTIyNDk0MzY2/OC5qcGVn.jpeg;https://www.youtube.com/watch?v=k4FZZDLlNQI;Autre chanson de la compilation In-Kraut , cette foi-ci c'est une chanson d'une actrise allemande que je ne connais pas la carriere pour être bien franc . Son wikipedia dit que c'est la seul actrise d'allemagne a avoir eu un role principale a Broadway. Go girl!
The Passenger;Iggy Pop;Lust For Life;4.736;29;137.315;Oui;54;36;52;66;https://i.discogs.com/eecT4MGO7Ztw0AQjTGHKWjPbdZG4HYn3ptWEaLt_khE/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1Mjk2/MjItMTQ1NDM2MzAx/My02MzI3LmpwZWc.jpeg;https://www.youtube.com/watch?v=-fWw7FE9tTo;Je ne ferai aucune allusion que le riff ressemble a femme libérée , ce n'est pas si facile ….fuck
Search And Destroy;Iggy Pop & The Stooges;Raw Power;3.504;24;84.09;Non;97;123;112;107;https://i.discogs.com/HoErRih5jwWlRBtt7WqvfHD1NnDTPi-KKx0ZcDeA3uk/rs:fit/g:sm/q:90/h:591/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU5MDgz/NS0xMjQ3NzczOTQ2/LmpwZWc.jpeg;https://www.youtube.com/watch?v=LC9km8qnbOY;Iggy a dit en interview , que pour faire cette album , ils s'est abstenu de sexe , d'alcool et de drogue . Le resultat est un album violent et surdosé
In-A-Gadda-Da-Vida;Iron Butterfly;In-A-Gadda-Da-Vida;17.042;8;136.338;Non;604;37;;57;https://i.discogs.com/mSIiNZJiic--p8tOnfiBdW3aVTh0U0lUfcOMwCOFeXI/rs:fit/g:sm/q:90/h:582/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxOTM0/NjgtMTMzMjg2NjYx/Mi5qcGVn.jpeg;https://www.youtube.com/watch?v=Tfpn3wHoNGA;"Je suis adolescent , je suis dans le sous-sol de ou j'ai grandis. Mon père, en haut mets un album. Je trouve le riff de guit , charmant . J'attend après du drum .Le connard que j'étais a surement dit que s'était du prog …7 minutes plus tard le riff revient . Je demande a mon père :"" C'est la même toune"" . Il me repond oui. Depuis la nuit , quelques fois j'écoute cette chansons . Je m'imagine voyagé dans le temps (pendant le solo de drum , fouille-moi mais j'imagine l'ère jurassic) sur cette album"
Super Man - Super Cool (LP Version);Jacky Chalard;*multiple*;4.823;23;110.919;Oui;110;68;93;122;https://i.discogs.com/LFDezJGcmRS3L-6jtZsZqIm1UAvAzxOmpOBn_TRv-JE/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUxNjUy/MTgtMTYyMDkyNTYw/Mi0zNzUxLmpwZWc.jpeg;https://www.youtube.com/watch?v=CkWRy9lLSZE;Si la personne qui m'a faite découvert cette lis ceci! ALLO , comment ça va ! Merci pour cette toune .  De retour a la chanson , j'imagine souvent un plan séquence sur cette chanson , sur quelqu'un qui descent un escalator ou un long couloir sur cette chanson . 
Hanky Panky;James, Tommy & the Shondells;Essentials, The;2.891;26;75.163;Oui;75;149;111;85;https://i.discogs.com/fxQDNCaFKxPD29OUF23BtzZ2hI4sRuj3SmB2gq8kp9I/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc4ODQz/MTctMTQ1MDg4NDQ0/NC0xNDkwLmpwZWc.jpeg;https://www.youtube.com/watch?v=UEHYU682kJ4;Bizarre la version originale est la mais la version québecoise qui dit que mon beubé danse le hanky panky est pas dans le top dommage
Recherché;Jano Bergeron;QUEBECTRONIQUE 80;4.058;24;97.384;Non;97;95;104;107;https://i.discogs.com/ld4N6FfTU5QEMk_Y1JPXb7hYM2feY74ZYL-TYr9QtK4/rs:fit/g:sm/q:90/h:583/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3ODAy/MzEtMTQ5Nzk1NzE0/MC01ODI1LmpwZWc.jpeg;https://www.youtube.com/watch?v=fCX1QIVc_9k;Perle des années 80 , qui n'est pas sur Spotify . Jano consulte des voyants pour retrouvé son chum , pauvre elle
Au fond des choses le soleil emmène au soleil;Jean-Pierre Ferland;Québec Love - Libres et fous (vol. 03);3.657;30;109.714;Oui;51;72;60;63;https://i.discogs.com/9Ku0CW_JpRH2_WhAHfYoNGfTSbKLre_aYhFpdBNBGGc/rs:fit/g:sm/q:90/h:554/w:567/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4ODI5/MDUtMTI1NDc1ODU1/My5qcGVn.jpeg;https://www.youtube.com/watch?v=YJmoR1koGU0;Si j'avais eu a écrire une chanson , ce serait probablement celle-ci  Mais comme vous pouvez lire depuis le début . L'écriture n'est pas mon fort
Cheval de Troie;Jean-Yves Lievaux;Psyché France, Vol. 6 (1960 - 70);3.069;35;107.413;Non;37;74;45;48;https://i.discogs.com/BlXoSudSzka-zB44B6zPKFaITopiogYZRj3hF1KFr7Q/rs:fit/g:sm/q:90/h:600/w:597/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MjY3/ODQzLTE3NTg0NDU0/ODgtMzQ2MC5qcGVn.jpeg;https://www.youtube.com/watch?v=pfAcSJfzXJY;"""JE SUIS LE MAGICIEN DU CIEL"""
too young;jide obe;africa airways five (brace brace boogie 1976 - 1982);5.21;76;395.969;Oui;1;1;1;2;https://i.discogs.com/4P4qgFLxXyTBrMQAs1bKheIVw7-KIxpgTDCiL4h-FhY/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2ODM2/ODUtMTM2MTcxNzkx/MS01OTA0LmpwZWc.jpeg;https://www.youtube.com/watch?v=xqjOZhgJsQ8;Il n'existe que peu d'info sur Jide Obe , outre qu'il est née en Angleterre , a passé sa jeunesse au Nigéria et sorti 3 albums . Too young est un excellent morceau boogey higlife qui te fait danser a la moindre écoute
Sexy Boy;Jimmy Hart;WWE Raw's Greatest Hits;3.367;41;138.036;Oui;19;35;21;26;https://i.discogs.com/-6XSogi2iYD4CN_Ztzb-lXBvuFDjU3iNP2AQVKT5rdc/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU4MzQ1/NzktMTQwNDAwMzAx/Mi01NDI3LmpwZWc.jpeg;https://www.youtube.com/watch?v=eVQkkZvV1PQ;Oui oui l'intro du Heartbreak Kid Shawn Michael est dans mon top . Je compare a sa collegue de nom Sexy boy de Air  mais sans résultat concluant .
chibidaba, chibidaba;jk mandengue;africa airways five (brace brace boogie 1976 - 1982);2.918;58;169.236;Oui;5;19;6;7;https://i.discogs.com/R4G01yMMhwsdjFeHNC6Xhv6k5a8VCLVn2pEw1-ULEUY/rs:fit/g:sm/q:90/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNzEx/OTktMTMwMzc0MTU5/MS5qcGVn.jpeg;https://www.youtube.com/watch?v=KBlF_rgJF94;Jean Dikoto Mandengue était un des meilleurs bassistes de France (il a meme  joué pour Cloclo :O )
J'aurais voulu te dire;Johanne Blouin;Johanne Blouin;4.065;26;105.692;Oui;75;78;81;85;https://i.discogs.com/CqoBNmuk6uEGmUIIJADTrmkOZMXY7zGoBuR9vi0wzfY/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNjI0/ODEtMTQ0OTU5NzMy/Ny00Nzg1LmpwZWc.jpeg;https://www.youtube.com/watch?v=6fAwnMhWhD0;"""Des murmures interdit au milieu de l'asie"""
The General Lee;Johnny Cash;Grand Theft Auto V [Unofficial Soundtrack] Rebel Radio;2.679;33;88.414;Oui;42;112;56;53;https://i.discogs.com/eBeyuhAopetttOb6FyFKIPNo4-kexgwb6EP7wWIZ6Jk/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4Mzcx/MjQtMTM5NTA2MDI5/NC00NTE5LmpwZWc.jpeg;https://www.youtube.com/watch?v=tMzQ_d1XLcY;La musique country doit confronter les normes établis…pas le devenir. 
Take This Job And Shove It;Johnny Paycheck;Take This Job And Shove It;2.587;37;95.71;Oui;28;98;42;38;https://i.discogs.com/EthqhTQ-Ewbg4-P9POn1BGkhdrsthEWrgu-NkQ5EyXg/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMDcy/OTQtMTM4MjQyOTY1/OS05NTg5LmpwZWc.jpeg;https://www.youtube.com/watch?v=gj2iGAifSNI;"You don't like country music, do you?  You think it's corny and twangy and kind of stupid.Well, you could be right, but it's always good to keep an open mind. -Mike Judge"""
Hot N Cold;Katy Perry;One of the Boys;3.672;31;113.83;Oui;47;62;53;59;https://i.discogs.com/-i0wD3-l_fLZpoOWxpJYWXEk5C2tKR_q4xREhoVWCDc/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1Nzk4/NTctMTYxMTU5MDA5/OC0xMTUzLmpwZWc.jpeg;https://www.youtube.com/watch?v=kTHNpusq654;Tu change d'Avis comme une femme change son linge.
TiK ToK;Ke$ha;Animal;3.329;37;123.184;Oui;28;54;34;38;https://i.discogs.com/nP_VuydFgqXWJ26hVAQzCrjU3o7qPfzsx9YI0GpVNHw/rs:fit/g:sm/q:90/h:467/w:471/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMzc1/MTU2LTE1NTMwMTU5/ODAtMTUyOS5qcGVn.jpeg;https://www.youtube.com/watch?v=iP6XpLQM2Cs;Mouin feelez comme P diddy s'pus L'temps l'fun Kesha  mais ta toune le reste
Bawitdaba;Kid Rock;Devil Without A Cause;4.454;45;200.444;Oui;13;14;11;18;https://i.discogs.com/SnQWQfk4NXW45x1BEsVAB-PlJogcl9qRTKMAsRVMOn8/rs:fit/g:sm/q:90/h:529/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNjUy/NjctMTUyNTA5Njkz/OC0zMzkyLmpwZWc.jpeg;https://www.youtube.com/watch?v=8fqhmtyuo5o;Aveux , j'aime Kid Rock early 2000 fin 90 . Je suis meme triste que Cowboy ne figure pas dans aucune liste . 
Head On/Pill;King Gizzard & the Lizard Wizard;Float Along - Fill Your Lungs;15.988;11;175.871;Oui;382;17;27;20;https://i.discogs.com/5vbW699UrNoh5N3PKtriYlYUFzmMkJCycI1Jt5drRdA/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNzY2/NDQxLTE1NDE1MzI2/MTYtMzUxOS5qcGVn.jpeg;https://www.youtube.com/watch?v=rpfFibsvo-Q;2014 , je suis derriere le comptoir d'un disquaire , je cherche quoi écouté . Sur mon Last.fm , il me conseille un groupe qui s'appelle King Gizzard & The Lizard Wizard . Curieux du nom je l'Écoute . Première toune , Head on /Pill 17 minutes chrono . J'embarque dans la chanson et au premier hurlement de la guitare de Stu Mackenzie , je tombe en amour avec cette chanson
Rattlesnake;King Gizzard & The Lizard Wizard;Flying Microtonal Banana;7.826;17;133.039;Oui;195;43;86;49;https://i.discogs.com/I5qNiNk5299nPmXRl_ATXT8aOwWrnp44AUtZSEl4Grc/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk4MDkx/NzEtMTUwMDcyMzEw/My03ODc2LmpwZWc.jpeg;https://www.youtube.com/watch?v=Q-i1XZc8ZwA;Microtonal Flying banana est loin d'être mon album de KGLW préféré mais Rattlesnake reste dans mes chansons préférés
The Lord of Lightning;King Gizzard & The Lizard Wizard;Murder of the Universe;5.125;25;128.13;Oui;83;50;71;93;https://i.discogs.com/_duUsEAilIqt0MvnZ6WnDCB7kJCbGn_DuiyP_O8BIXE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDQ1/MDIxLTE2MzEyOTAy/NTgtNjczOC5qcGVn.jpeg;https://www.youtube.com/watch?v=baSWKFCYHY8;"Connaissez-vous ""Murder of the nonagon Fuzz"" . Théorie qui dit qu'il y a un album caché dans plusieurs album de King Gizzard ( Murder of the universe, Nonagon Infinity , I'M in you're mind , Quartets et Paper Maché ) et Lord Of the Lightning est une des pieces principales de ce non-album  caché "
Wakin On A Pretty Day;Kurt Vile;Wakin On A Pretty Daze;9.513;10;95.129;Non;441;99;118;165;https://i.discogs.com/8nTk0p_ws1yHTa2mbZxy8FeI1GppfMG1zwwu_PTsdws/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4MDYy/MzA2LTE2OTI4NzMw/MzktODM3Mi5qcGVn.jpeg;https://www.youtube.com/watch?v=bd0K76H7sU8;Meilleur album de la décénnie 2010 (si on ne compte pas Neil Ciecerega)
Telephone (Feat. Beyonce);Lady Gaga;The Fame Monster (USA Super Deluxe) CD1;3.678;25;91.951;Oui;83;103;100;93;https://i.discogs.com/1TBTfQd328pnxjc1qq5FjbWF05JSUrAdLdTBeRnbBy0/rs:fit/g:sm/q:90/h:599/w:592/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyMjI3/ODMtMTI3MTA5NDg1/Mi5qcGVn.jpeg;https://www.youtube.com/watch?v=EVBsypHzF3U;Oui, j'écoute cette chanson , J'A trouve bonne j'ai l'doua
Bella;Laurence Jalbert;Ses plus grands succès;3.447;29;99.971;Oui;54;87;69;66;https://i.discogs.com/-qALcYt3wJZ4ntoP7xXnWlz7dAXBtmls_-xBVo659y0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NzM5/MDUtMTc1NDI2ODU4/OC0yMzIxLmpwZWc.jpeg;https://www.youtube.com/watch?v=luqjqv31jTY;Il fallait du Laurence Jalbert dans le top . Au depart , il n'en avait pas mais j'ai décidé que le nombre d'écoute de mon mix sur elle comptait comme écoute . Donc maintenant il y a du Laurence dans le top
Corridor;Laurence Jalbert;Ses plus grands succès;3.962;31;122.819;Oui;47;55;50;59;https://i.discogs.com/-qALcYt3wJZ4ntoP7xXnWlz7dAXBtmls_-xBVo659y0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NzM5/MDUtMTc1NDI2ODU4/OC0yMzIxLmpwZWc.jpeg;https://www.youtube.com/watch?v=tUKYvPF-LbM;Déclarer meilleur chanson de Laurence , dans mon top 10 de Laurence . C'est encore ma chanson préféré de elle . 
Eeeh mes amis;Les Biberons Bâtis;Attaboy On Meurt! ;1.934;37;71.572;Non;28;170;46;38;https://i.discogs.com/9pvKGctX19TovgiwaYltCfoR8ny8NZUHjvAOyUy-NIw/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzOTA3/NzkxLTE2NTgwMTUz/MDgtNDI1NS5qcGVn.jpeg;https://www.youtube.com/watch?v=iWsrIEjnqqM;Oui Satan Bélanger est dans le top . Pour info le segment de Marc Simoneau est celui du 30 novembre 1985 . Les nordiques ont gagn 2-0 contre Boston . Un but de Peter Stastny et de Randy Moller
Fantastique;Les Denis Drolet;Les Denis Drolet;3.594;40;143.777;Non;23;31;26;30;https://i.discogs.com/-_fglryXVQc490v7Br9wj7cXeLVtnSl_Y8e52ThzfLM/rs:fit/g:sm/q:90/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQzMTcx/NjctMTM2MTU3MTE3/OC0yOTUzLnBuZw.jpeg;https://www.youtube.com/watch?v=2fCrLA4cxxs;NON LES DENIS DROLETS , CE N'EST PAS DU N'IMPORTE QUOI . Ils sont fan de l'écriture automatique , du langue automatisme de Gauvreau , des textes de plumes et tous ça se reflète dans leurs oeuvres musicales. L'utilisation des concepts populaire basé sur la culture populaires québecoises afin de détourner leurs codes me fera toujours plaisirs. Malgré que Fantastique , au dire des denis, était une chanson écrite vite pour avoir un single est pour moi la meilleures clé de voute pour entrée dans leurs univers . 
